topic,category,question,answer,keywords,timestamp
Registration Dates Inquiry,Academic,يا اخوان التسجيل متى بيفتح ؟,"16, 17","['registration', 'dates', 'academic']",2023-03-04
YSAG Leadership Announcement,Student Life,يعلن فريق YSAG لعام 2022-2023 عن انتهاء فترتهم الرئاسية لهذا العام,🌟 شكر خاص لكل رؤساء الكليات والمشرفين على جهودهم المبذولة وعطائهم المستمر اللذي لا توفي حقه كلمات الشكر، فلكم جزيل الشكر والتقدير. 🌟,"['YSAG', 'leadership', 'announcement']",2023-03-08
YSAG New Leadership Announcement,Student Life,يعلن YSAG عن أسماء رؤساء المجموعات الاكاديمية لعام 2023-2024.,*YSAG President* نوح علوان +601161690819 *YSAG Vice-President* -محمد ناشر +60 11-1177 9026 ........................................................ *Foundation* عبدالرحمن السقاف +966548168190 ....................................................... ‏*Faculity of Biomedical Engineering* - هشام مصطفى +601137799218 ................................................... ‏*Faculity of Chemical & Petroleum Engineering* -محمد بابكر +60182765747 ................................................... ‏*Faculty of Civil Engineering* -عبدالملك مروان +60 18-326 7649 ................................................... ‏*Faculty of Electrical Engineering* -اسامة الزبيري +967 738 825 883 .................................................... ‏*Faculity of Mechanical Engineering* -محمد خليل +60 18-220 5961 -نايف رضوان +60 11-6166 7848 ....................................................... ‏*Faculty of Computing* -عبدالله النظاري +60 11-2736 8639 -احمد مروان +601139700557 ....................................................... نتمنى لهم التوفيق والنجاح في بداية فترتهم❤️ *YSAG* *ISS-YEMEN* *UTM*,"['YSAG', 'new leadership', 'announcement']",2023-03-09
Course Timetable Announcement,Academic,"FKT Course Timetable for Semester II, Session 2022/2023",Attached herewith is the course timetable for 2022/2023-II.,"['course timetable', 'FKT', 'semester II']",2023-03-13
Registration Dates Inquiry,Academic,سلام عليكم، يخوان متى بيبدا التسجيل للمواد؟,"16,17","['registration', 'dates', 'academic']",2023-03-13
Differential Equation Professor Inquiry,Academic,السلام عليكم شباب تحد يعرف دكتور differential equation كويس,,"['differential equation', 'professor', 'academic']",2023-03-19
Professor Contact Information,Academic,شباب احد عنده رقم Dr. Mohd Ariffin (big brother),,"['professor', 'contact information', 'academic']",2023-03-19
Professor Contact Information,Academic,سلام عليكم ممكن رقم الدكتور Zaki Yamani,Dr Zaki Zaki Yamani.vcf (file attached),"['professor', 'contact information', 'academic']",2023-03-19
Professor Contact Information,Academic,ي شباب مساكم بالخير احد معاه رقم هذا الدكتور ؟,diniemuhaimin.vcf (file attached),"['professor', 'contact information', 'academic']",2023-03-19
Excel Professor Recommendation,Academic,تنصحو مين في Excel,,"['Excel', 'professor', 'recommendation']",2023-03-22
PSC Course Registration Inquiry,Academic,السلام عليكم كنت بسال احد بعرف متى بيفتح تسجيل ال PSC courses,وعليكم السلام.. عادة يكون فيه بريفنق رح يعلنوا عنه قريب ...من اسبوع إلى اسبوعين رح يعلنوا عنه ونخبركم إن شاء الله,"['PSC courses', 'registration', 'academic']",2023-03-23
Research and Training Opportunities,Academic,شباب حبيت اسال ع موضوع التدريب او البحوث الي ممكن تسويها مع دكتور ف الجامعه حد يعرف اكثر ع المجال ذا كيف اقدم على الاشياء ذي وايش المتطلبات وكذا,,"['research', 'training', 'opportunities', 'academic']",2023-03-23
Bank Account Opening for New Students,Student Life,يا شباب معي سؤال، اذا انا طالب جديد هل اقدر افتح حساب ماي بنك؟,إذا أنت من الدول التي تعاني من حروب في الغالب لأ تقدر تطلع RHB بنك معاملات وبنك ثاني مايحضرني إسمه,"['bank account', 'new student', 'MyBank']",2023-03-27
Opening a Maybank Account for Students,Student Life,سمعت بس مو متاكد انك تقدر تقدم ع ماي بنك بس في فرع معين تقدم عليه,"هذا الفورم حق ماي بنك: https://docs.google.com/forms/d/e/1FAIpQLSec5ZHcR2f0LmStwRsOspp8dx1nz0Uv8MPoRPlTR1pEaOkd7A/viewform
وهذا الفرع الي كلموني عنه الشباب: https://maps.app.goo.gl/UqQc7qiUYdA7E6oi8","['ماي بنك', 'فرع', 'حساب', 'طلاب']",2023-03-27
UTMPSC Course Briefing Invitation,Academic,"UTMPSC Course Briefing, Semester II, Session 2022/2023.","All 3rd year and 4th Year students are invited to UTMPSC Course Briefing. Details as below: 
📆 4 April 2023 ( Tuesday)
⏰ 2.30pm
🔗 https://www.facebook.com/UTMiLeaGue","['UTMPSC', 'Course Briefing', 'Semester II', '2022/2023']",2023-03-30
Final Year Project (FYP) Experience Inquiry,Academic,الشباب الي اشتغلوا تجارب في FYP هل فيه واحد اشتغل على Autoclave batch reactor?,تفضل,"['FYP', 'Autoclave batch reactor', 'تجارب']",2023-03-30
