topic,category,question,answer,keywords,timestamp
Statics Exam Preparation,Academic,يا شباب بالله حد عنده previous تست ٢ حق statics؟,"No direct answer provided, but media files were shared.","['statics', 'test 2', 'previous test']",2019-11-16
ITE Exam Preparation,Academic,ي شباب احد عنده previous test لل ITE,"No direct answer provided, but media files were shared.","['ITE', 'previous test']",2019-11-25
MATLAB Exam Preparation,Academic,ي شباب أحد عنده previous test 2  لل matlab,"No direct answer provided, but media files were shared.","['MATLAB', 'test 2', 'previous test']",2019-12-03
Internship Opportunity,Academic,I'm urgently looking for 5 pax of Interns in MRCSB Melaka for Measurement Department,"Job Scope Includes: 1)To assist Measurement Department for site and office related tasks 2)To assist Engineers in planning Preventive Maintenance and Reactive Maintenance 3)To assist Engineers in Process Analyzers Data correlation with Lab Data 4)To assist Engineers in Budgetary and CAPEX Document preparation 5)To assist Engineers in Project Execution 6)To assist Engineers in Preventive Maintenance Works in Plant Turn Around and Shut Down. 7)To proactively seeking tasks and provide support to Measurement Department members 8)To assist Documentation works such as information collection, communicate with different departments etc 9)To prepare Measurement Instruments Database such as datasheet, Engineering Drawings etc 10)To prepare Measurement Instruments presentation and slides 11)Willing to work extra hours if needed and able to work in Melaka 12) Proactive and Independent candidate is preferred 13) Minimum CGPA 3.0 and minimum duration 12 weeks and above 14) Degree background in Engineering","['internship', 'MRCSB', 'Measurement Department', 'Melaka']",2019-12-11
Career Talk and Internship Placement,Academic,"Assalamualaikum and Greetings to all, we are glad to invite you to a Career Talk & Internship Placement Opportunities by Texas Instruments Malaysia Sdn. Bhd.","17th December 2019 | Tuesday | Block V01, Faculty of Engineering, Universiti Teknologi Malaysia, Johor Bahru. PLEASE BRING ALONG YOUR CURRICULUM VITAE (CV) AND WEAR OFFICE ATTIRE FOR INTERVIEW SESSION. For further inquiries, please do not hesitate to contact us: 1) Miss Enna Fasihah binti Fadilah Whatsapp/Call: 0169282119 Email: ennafasihah@utm.my 2) Mr. Awang Emir Muslim bin Awang Mentali Whatsapp/Call: 0165775833 Email: muslim@utm.my 3) Mdm Sahana binti Nasiff @ Musa Whatsapp/Call: 0197405341 Email: sahana@utm.my","['career talk', 'internship', 'Texas Instruments', 'UTM']",2019-12-11
Course Registration Inquiry,Academic,عندي استفسار شباب يعطيكم العافية من ناحية التسجيل في السمستر الجاي لانه راح يكون اول سمستر لي بالكلية هل ضروري حضوري في بداية التسجيل تاريخ ٦/٢/٢٠٢ او مافي مشكلة اذا تأخرت لين ١١/٢/٢٠٢٠ او اذا مسموح لي اخلي احد يسجلني وانا مو موجود ؟,"هو عادي بس يمكن تلاقي السكاشن اللي فيها دكاتره ممتازين فل
على حد علمي حركة انه واحد يسجلك وانت مو موجود ماتزبط
لانه قد جربت اسويها وما زبطت
مع انه الادفايزر كان معطيني خطاب","['تسجيل', 'السمستر الجاي', 'حضوري', 'تأخر', 'خطاب']",2019-12-24
Programming Previous Exam Request,Academic,السلام عليكم كيفكم ياشباب احد عنده previous حق programming,<Media omitted>,"['programming', 'previous', 'exam']",2019-12-31
Final Exam Format Inquiry,Academic,الفاينل openbook؟,ايوه حسب ما اعرف,"['final', 'openbook', 'exam']",2020-01-01
Grades Release Inquiry,Academic,السلام عليكم شباب متى تطلع العلامات؟,كذا اسبوع ان شاء الله,"['علامات', 'grades', 'release']",2020-01-10
Course Registration Opening,Academic,سلام عليكم شباب اي بيفتح ال course registration ؟,,"['course registration', 'تسجيل المواد']",2020-01-14
