topic,category,question,answer,keywords,timestamp
University Holidays,Student Life,شباب اليوم إجازة صح؟,لا,"['إجازة', 'يوم', 'جامعة']",2022-06-01
Mathematics Course Schedule,Academic,شباب هل مواعيد مواد الرياضيات ثابتة في كل الكليات ؟,غالبا يب,"['مواعيد', 'رياضيات', 'كليات']",2022-06-12
Exam Material Request,Academic,شباب الي معاه اختبار دفرنشل في سمستر الماضي ياريت يرسله,,"['اختبار', 'دفرنشل', 'سمستر']",2022-06-12
Digital Electronics Exam Request,Academic,السلام عليكم ، شباب الي معاه digital electronics test 2 حق السمستر الماضي يرسله وشكرا,,"['digital electronics', 'test 2', 'سمستر']",2022-06-14
Course Instructor Recommendations,Academic,شباب احد يعرف دكاتره كويسين ف ٣ مواد ذولي,"Nik noordini SEC 4 SEEE2073, MD Pauzi Sec 13 SEEE2423, Signal خش سيكشن 7. مع nik Noordni لا تفكر بغيرها, Instro خش مع anita, او صلاح الدين و اضمن A+","['دكاتره', 'مواد', 'SEEE2073', 'SEEE2423', 'Signal', 'Instro']",2022-06-15
Short Semester Eligibility,Academic,السلام عليكم.. شباب هل طلاب سنة أولى يقدروا يأخذوا short semester ولا لا؟,"لاطلاب سنه اولى ولا اي سنه, ال short semester فقط للتدريب الصيفي, التدريب الصيفي بعد ماتوصل ٩٠ كردت","['short semester', 'سنة أولى', 'تدريب صيفي']",2022-06-15
Graduation Timeline,Academic,سمعت ان الواحد ممكن يختصر دراسته في 3 سنوات ونص كيف هذا؟,"ضروري ينسق من اول ترم لان بايوصل للاخير ومعاه مشروع التخرج مادتين وكل ماده في ترم وماينفع ياخذهم مع بعض ف اذا ماخطط من البدايه ونزل مواد كثير بسرعه ماراح يقدر يختصر نهائيا, غير كدا الجامعة حتسويلك مشاكل من هذي الناحية لانه لازم تكمل ٤ سنين دراسة هندسة. اعتقد هذا متطلب يا اما من الجامعة او من نقابة المهندسين الي هنا في ماليزيا مني متاكد, مش شرط تقدر تاخذه وانت واخذ حاجه وثمانين كريدت بس لازم تاخذ موافقه الهيد تبع التخصص, لو نظمت جدولك وخلصت الكريدتس تبعك بسبع سيمسترات تقدر اكيد, مش شرط عشرين يقدر يقسم الكريدتس بين السيمسترات عشرين كل سيمستر كثر, لا مش متطلب من اي مكان, تقدر تخلص بسبع سيمسترات مادام خلصت الكريدتس الي عليك, وتقدر تروح تكلم الهيد تبعك, لانه في عندي ناس بدفعتي بيتخرجو بالسيمستر السابع عادي وفي ناس من قبل بالبايو تخرجو بالسيمستر السابع عادي","['دراسة', '3 سنوات ونص', 'كريدتس', 'سيمسترات', 'هندسة']",2022-06-15
High Voltage Technology Exam Request,Academic,السلام عليكم شباب حد عنده Test 2 High Voltage Technology ؟,,"['Test 2', 'High Voltage Technology']",2022-06-18
University Insurance Coverage,Student Life,السلام عليكم يا شباب حد يعرف ايه اقرب مستشفى من مستشفى comlumbia asia بس تكون داخل تأمين الجامعة,"كلم الخط الساخن بتاع شركه التامين و قولهم علي المكان و هما هيساعدوك, KPJ","['مستشفى', 'تأمين الجامعة', 'Columbia Asia']",2022-06-20
Examination Slip Purpose,Academic,السلام عليكم شباب، ايش فايدة examination slip ?,"ولا من امها فائدة, بس في حال لاقدر الله كان في دكتور وسخ ماراح يدخلك الاختبار الا بها, انا الصدق ماقد شفت حد من قبل سالوه عليها, واحدة من ورق تجديد الفيزا 🌚","['examination slip', 'اختبار', 'دكتور']",2022-06-29
