topic,category,question,answer,keywords,timestamp
Training Requirements for Mechanical Engineering Students,Academic,بس حابب اسأل هل فيه ملف خاص بموضوع ال (training ) يكون موضح فيه الشروط و الطريقة والخ يكون خاص بكلية المكيانيك,الموضوع بسيط اهم شيء فين بتسوي التدريب في ماليزيا ولا خارج ؟ اذا في ماليزيا اطلب ورقة cover letter من الكلية وقدم على الشركات ذا خيار الخيار الثاني ممكن تكلم دكتور تشتغل معاه في اللاب وينحسب عليك بتدريب برضو اذا خارج ماليزيا شوف اي شركة وكلمهم وبعدين راسل الكلية بورقة القبول وارسلها لهم اهم شيء يكون المشرف عليك *مهندس* لو بتسويه خارج ماليزيا,"['training', 'mechanical engineering', 'cover letter', 'internship']",2022-05-01
Training Credit Requirements,Academic,طيب انا سمعت انه لازم اكون مكمل ٨٠ كريدت هل هذا صحيح ولا لازم اكون معدي مواد الكور فقط زي سولد ١ و ٢ وكذا,ماعندي الخبر الأكيد شوف الكلية افضل,"['training', 'credit requirements', 'mechanical engineering']",2022-05-01
Statistics Exam Preparation,Academic,شباب حد يعرف بلاي ليست statistics كويسه؟ و الامتحان هيجي لحد فين؟,خش على موقع ال YSAG في شرح عربي ممتاز للمهندس بلال,"['statistics', 'exam preparation', 'YSAG']",2022-05-10
Course Withdrawal Process,Academic,شباب الdrop بيقفل اليوم قبل الساعة 12 ? ولا بكرة,المفروض. بكرا اذا تريد تدرب درب من الحين,"['course withdrawal', 'drop', 'academic process']",2022-05-11
Introduction to Design Course Inquiry,Academic,شباب بالله احد اخدت Introduction to design من قريب اخر سيميسترين؟ بس عندي كم استفسار ع ماده,تفضل,"['introduction to design', 'course inquiry', 'academic']",2022-05-12
Applied Thermodynamics and Heat Transfer Exam Preparation,Academic,سلام عليكم ياشباب اللي معاه بريفيس Applied Thermodynamics and heat transfer يرسل الله يعطيكم العافيه🌹,و عليكم السلام موجود في المكتبة,"['applied thermodynamics', 'heat transfer', 'exam preparation']",2022-05-13
Applied Thermodynamics and Heat Transfer Exam Preparation,Academic,شباب حد عنده ابلايد ثيرمو بكرا؟,تست 2 هيبقي النهاردة الساعة اتنين بتوقيت ماليزيا,"['Applied Thermodynamics', 'Heat Transfer', 'Test 2', 'exam']",2022-05-18
Research Assistant Opportunity,Academic,"Salam/Dear All, High Speed Reacting Flow (HiREF) laboratory is looking for two short-term research assistant(s)...","If you are interested, please fill in the brief form here by 27 May 2022 for immediate appointment or starting the upcoming academic year...","['research assistant', 'HiREF', 'Carbon Nanotubes', 'UTM']",2022-05-18
Minimum and Maximum Credits per Semester,Academic,شباب ممكن اعرف كم ال minimum credit في السمستر ؟ وال maximum,"max 21, min 12","['credits', 'minimum', 'maximum', 'semester']",2022-05-19
Solid Mechanics Study Resources,Academic,شباب الي يعرف بلي ليست في يوتيوب شرح لمادة solid mechanics 1 يرسلها,https://youtube.com/playlist?list=PLA_Tk7dzX2gawueNkkJ1weJT6YrJxhdBO,"['Solid Mechanics', 'YouTube', 'study resources']",2022-05-29
