topic,category,question,answer,keywords,timestamp
University Semester Start Date,Academic,متى بيبدا الترم الجاي,16 March,"['semester start date', 'academic calendar']",2025-01-01
Ramadan Online Classes,Academic,هل في خبر عشان رمضان بكون اونلاين ولا لسا,لا لسه الخبر غالبا ممكن ينزل في شهر 3 بداية رمضان,"['Ramadan', 'online classes', 'semester schedule']",2025-01-01
Semester Fees Payment,Academic,يخوان بالنسبه ل رسوم السمستر لازم ادفع قبل تسجيل السمستر يوم 5 ؟ او عادي لين الفاينل,تقدر تدفع بأي وقت، بس ما بتقدر تسجل مواد من البورتال إذا ما دفعت,"['semester fees', 'payment deadline', 'course registration']",2025-01-01
University Holidays,Academic,ياعويله دلحين الاحد اجازه؟,الأحد إجازة نهاية أسبوع والاثنين إجازة برضه,"['holidays', 'university schedule']",2025-01-02
Web Programming Course,Academic,السلام عليكم، إذا فيه أحد ماخذ web programming السمستر هذا يتواصل معاي خاص رجاءً,,"['web programming', 'course', 'academic']",2025-01-02
Preparatory Semester Courses,Academic,ايش مواد الترم التحضيري انا Software engineering,"ICT, FOP, MATH","['preparatory semester', 'courses', 'software engineering']",2025-01-05
Course Schedule Release,Academic,شباب نزل جدول المواد ولا؟,https://bit.ly/202420252x,"['course schedule', 'academic']",2025-01-05
Best Professors for OOP and Web Development,Academic,مين افضل دكتور ل مادة OOP و مادة web development,"DR Luqman, Lizawati, Aida, Nur zuraifah","['OOP', 'web development', 'professors']",2025-01-05
Best Professors for Computational Mathematics and System Analysis,Academic,السلام عليكم ، يخوان مين الافضل فيهم؟,"Dr. Nor Azizah binti Ali, Dr. Nor Haizan binti Mohamed Radzi, Dr. Cik Suhaimi bin Yusof, Ts. Dr. Muhammad Iqbal Tariq bin Idris","['computational mathematics', 'system analysis', 'professors']",2025-01-05
Bridging Exam Difficulty,Academic,طيب صحيح ان لو حبيت اخذ امتحان التجاوز البريدجينج رح يكون اصعب من الامتحان العادي؟,صعوبتها كلها في انه بيكون اول مره تختبر اختبار في الجامعه ، واختبارات utm معروفه انها صعبه شويتين ، عشان كده بقولك حاول تحل past years لو حسيت نفسك كويس وقادر تحل ومرتاح في الحل ، اختبر افضلك,"['bridging exam', 'difficulty', 'academic']",2025-01-05
Bridging Semester Impact on GPA,Academic,معدل البريدجنق غير مضمن في معدل الجامعة النهائي؟,ابدا,"['bridging semester', 'GPA', 'academic']",2025-01-05
Course Registration for Bridging Students,Academic,هل الطلاب اللي رح يجتازو البردجينج هذا الترم لازم يسجلو المواد مشان الترم الأول حق الباشلور؟,يب,"['bridging students', 'course registration', 'academic']",2025-01-05
Elective Course Registration,Academic,من وين اسجلها تعرف ؟ لان مش موجوده في الملف,ادخل البورتال وروح لل course registration وبعدين بتحصل curriculum information في هناك بعض من مواد ال elective,"['elective courses', 'registration', 'academic']",2025-01-05
Elective Course Registration,Academic,من وين اسجلها تعرف ؟ لان مش موجوده في الملف,شوف هنا,"['elective', 'registration', 'courses']",2025-01-05
Best Professors for COA,Academic,"مين احسنهم للCOA Dr. Mohd Kufaisal bin Mohd Sidik, Dr. Mohd Fo'ad bin Rohani, Dr. Zuriahati binti Mohd Yunos, Assoc. Prof. Dr. Norafida binti Ithnin?",فرحانه🗣️🗣️🗣️,"['COA', 'professors', 'recommendations']",2025-01-05
Professor Recommendations,Academic,اي الدكاتره افضل؟,"رشيده, فرحانا, فرحانة لا تفكر, سيئ","['professors', 'recommendations']",2025-01-05
Course Registration Issues,Academic,يعني متى لازم نسجل المواد وكيف؟,بيرسلوا لكم في الايميل .. بعد النجاح في البردجنق إن شاء الله .. بيجيكم إيميل من الكلية..,"['registration', 'courses', 'email']",2025-01-05
Professor Recommendations for Statistics,Academic,طيب جماعة لسه محدش نصحنا. مي احنا دكتور ناخد معاه الstatistics and probability ؟,"قالو rozaliwati و izyan لا, و دكتور محمد؟","['statistics', 'probability', 'professors']",2025-01-05
Professor Recommendations for COA,Academic,طيب مين احسن دكتور بعد دكتورfoad في الcomputer organization and architecture.,"حزينه افضل واحده, سكشن حزينه الاول مش عامل كلاش مع فؤاد","['COA', 'professors', 'recommendations']",2025-01-05
